id,name,analyst,current_url,final_url,status_code,verdict,why,rss_feeds,ical_feeds,jsonld_events,sec_cik,suggested_action
57511,Codelco,Martina Pino,https://www.codelco.com/en/transparencia/calendario,https://www.codelco.com/en/transparencia/calendario,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
2991,Coinbase,Martin Cofre,https://investor.coinbase.com/events-and-presentations/events/default.aspx,https://investor.coinbase.com/events-and-presentations/events/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
57558,Comcast,Gisela Pollanco,https://www.cmcsa.com/events-and-presentations/,,0,fetch-error,timeout,0,0,0,0001166691,use-sec
57562,Cometa Energy,Matias Fauré,https://cometaenergy.com.br/,https://cometaenergy.com.br/,200,non-ir-page,no IR/calendar signals,1,0,0,,use-rss
64217,Comisión Federal de Electricidad (CFE),Cata Rifo,https://www.cfe.gob.mx/finanzas/eventos-relevantes-y-otros-indicadores/pages/eventos-relevantes.aspx,https://www.cfe.gob.mx/finanzas/eventos-relevantes-y-otros-indicadores/pages/eventos-relevantes.aspx,403,thin-body,only 82 chars of visible text,0,0,0,,js-render-required
57566,Commercial Bank of Qatar,Danny Bin Khairul Nizam,https://www.cbq.com.qa/en/investor-relations/financial-information/financial-calendar,https://www.cbq.com.qa/en/investor-relations/financial-information/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
2424,Commercial Metals Company,Mateo Castro,https://ir.cmc.com/investors/events-presentations/,https://ir.cmc.com/investors/events-presentations/,200,ir-page-no-calendar,IR content but no calendar keywords,2,0,1,0000022444,use-sec
1699,Commerzbank AG,Shi Man Fong,https://investor-relations.commerzbank.com/financial-calendar,https://investor-relations.commerzbank.com/financial-calendar,502,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
2462,Community Health Systems,Neil McShane,https://www.chs.net/investor-relations/investor-tools/webcasts,https://www.chs.net/investor-relations/investor-tools/webcasts,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,0001108109,use-sec
57145,Compagnie de Financement Foncier,Danny Bin Khairul Nizam,https://ppr.foncier.fr/presentation-investisseur/,https://ppr.foncier.fr/presentation-investisseur/,200,non-ir-page,no IR/calendar signals,1,0,0,,use-rss
57576,Companhia Siderurgica Nacional,Mati Ossandon,https://ri.csn.com.br/servicos-ri/calendario-de-eventos/,https://ri.csn.com.br/servicos-ri/calendario-de-eventos/,200,non-ir-page,no IR/calendar signals,0,0,1,,use-jsonld
2714,Compass Diversified,Agustin Maza,https://ir.compassdiversified.com/news-events/events-presentations,,0,fetch-error,timeout,0,0,0,0001345126,use-sec
2452,Comstock Resources,Ibrahim Dughman,https://investors.comstockresources.com/news-events/events-presentations,,0,fetch-error,timeout,0,0,0,0000023194,use-sec
